,Echo Time,Repetition Time,Slice Thickness,Contrast Agent,Sequence Name,Field Strength,Study Year,Scanning Sequence,Series Description,Pixel Spacing,Pixel Spacing Row (mm),Pixel Spacing Col (mm),Modality,Rows,Columns
0,15.0,400.0,4.0,,*tse2d1_3,1.5,2000,SE,sag t1,"(0.875, 0.875)",0.875,0.875,MR,320,320
1,9.784,450.0,4.0,,,1.5,2000,SE,sag t1,"(0.5078, 0.5078)",0.5078,0.5078,MR,512,512
2,9.32,466.668,4.0,,,1.5,2000,SE,sag t1,"(0.5078, 0.5078)",0.5078,0.5078,MR,512,512
3,10.088,466.664,4.0,,,1.5,2000,SE,sag t1,"(0.546868, 0.546876)",0.546868,0.546876,MR,512,512
4,10.088,466.664,4.0,,,1.5,2000,SE,sag t1,"(0.546868, 0.546876)",0.546868,0.546876,MR,512,512
5,7.636,500.0,4.0,,,1.5,2000,SE,sag t1,"(0.507813, 0.507812)",0.507813,0.507812,MR,512,512
6,8.92,553.0,4.0,,,1.5,2000,SE,sag t1,"(0.4883, 0.4883)",0.4883,0.4883,MR,512,512
7,9.96,600.0,4.0,Yes,,1.5,2000,SE,sag t1 +c fs,"(0.5078, 0.5078)",0.5078,0.5078,MR,512,512
8,8.76,621.0,4.0,Yes   Multihance,,1.5,2000,SE,sag t1 fs +c,"(0.5273, 0.5273)",0.5273,0.5273,MR,512,512
9,7.9,520.0,4.0,,*tse2d1_3,1.5,2000,SE,sag t1,"(0.8125, 0.8125)",0.8125,0.8125,MR,320,320
10,6.1,663.0,4.0,,,1.5,2000,SE,sag t1,"(0.4688, 0.4688)",0.4688,0.4688,MR,512,512
11,9.768,466.668,4.0,,,1.5,2000,SE,sag t1,"(0.5078, 0.5078)",0.5078,0.5078,MR,512,512
12,9.9,556.0,4.0,,*tse2d1_3,3.0,2000,SE,sag t1,"(0.67708331346512, 0.67708331346512)",0.67708331346512,0.67708331346512,MR,384,384
13,10.568,416.664,4.0,,,1.5,2000,SE,sag t1,"(0.546868, 0.546875)",0.546868,0.546875,MR,512,512
14,9.4,601.0,4.0,,*tse2d1_3,1.5,2000,SE,sag t1,"(0.875, 0.875)",0.875,0.875,MR,320,320
15,9.96,616.668,4.0,,,1.5,2000,SE,sag t1,"(0.5078, 0.5078)",0.5078,0.5078,MR,512,512
16,8.856,480.0,4.0,,,1.5,2000,SE,sag t1,"(0.4688, 0.4688)",0.4688,0.4688,MR,512,512
17,9.304,466.668,4.0,,,1.5,2000,SE,sag t1,"(0.5273, 0.5273)",0.5273,0.5273,MR,512,512
18,8.84,750.0,4.0,,,1.5,2000,SE,sag t1,"(0.546883, 0.546875)",0.546883,0.546875,MR,512,512
19,9.5,606.0,4.0,,*tse2d1_3,3.0,2000,SE,sag t1,"(0.72916668653488, 0.72916668653488)",0.72916668653488,0.72916668653488,MR,384,384
20,5.684,700.0,4.0,,,1.5,2000,SE,sag t1,"(0.4688, 0.4688)",0.4688,0.4688,MR,512,512
21,10.864,600.0,4.0,,,1.5,2000,SE,sag t1,"(0.5078, 0.5078)",0.5078,0.5078,MR,512,512
22,10.864,600.0,4.0,,,1.5,2000,SE,sag t1,"(0.5078, 0.5078)",0.5078,0.5078,MR,512,512
23,10.0,500.0,4.0,,*tse2d1_3,1.5,2000,SE,sag t1,"(0.875, 0.875)",0.875,0.875,MR,320,320
24,9.848,516.668,4.0,,,1.5,2000,SE,sag t1,"(0.4688, 0.4688)",0.4688,0.4688,MR,512,512
25,9.4,500.0,4.0,,*tse2d1_5,1.5,2000,SE,sag t1,"(0.875, 0.875)",0.875,0.875,MR,320,320
26,9.5,669.0,4.0,,*tse2d1_3,3.0,2000,SE,sag t1,"(0.72916668653488, 0.72916668653488)",0.72916668653488,0.72916668653488,MR,384,384
27,9.896,583.336,4.0,,,1.5,2000,SE,sag t1,"(0.625, 0.625)",0.625,0.625,MR,512,512
28,9.4,545.0,4.0,,*tse2d1_4,3.0,2000,SE,sag t1,"(0.90625, 0.90625)",0.90625,0.90625,MR,320,320
29,9.4,669.0,4.0,,*tse2d1_4,3.0,2000,SE,sag t1,"(0.75, 0.75)",0.75,0.75,MR,320,320
30,9.96,533.336,4.0,,,1.5,2000,SE,sag t1,"(0.5078, 0.5078)",0.5078,0.5078,MR,512,512
31,9.5,606.0,4.0,,*tse2d1_3,3.0,2000,SE,sag t1,"(0.72916668653488, 0.72916668653488)",0.72916668653488,0.72916668653488,MR,384,384
32,8.72,505.0,4.0,,,1.5,2000,SE,sag t1,"(0.4688, 0.4688)",0.4688,0.4688,MR,512,512
33,11.0,620.0,4.0,MULTIHANCE,*tse2d1_5,1.5,2000,SE,sag t1 fs +c,"(0.875, 0.875)",0.875,0.875,MR,320,320
34,8.696,500.0,4.0,,,1.5,2000,SE,sag t1,"(0.5078, 0.5078)",0.5078,0.5078,MR,512,512
35,9.784,450.0,4.0,,,1.5,2000,SE,sag t1,"(0.5078, 0.5078)",0.5078,0.5078,MR,512,512
36,11.0,506.0,4.0,,*tse2d1_3,1.5,2000,SE,sag t1,"(0.875, 0.875)",0.875,0.875,MR,320,320
37,9.9,704.0,4.0,,*tse2d1_3,3.0,2000,SE,sag t1 +c,"(0.67708331346512, 0.67708331346512)",0.67708331346512,0.67708331346512,MR,384,384
38,9.0,557.0,4.0,,,1.5,2000,SE,sag t1,"(0.5078, 0.5078)",0.5078,0.5078,MR,512,512
39,5.62,455.0,4.0,,,1.5,2000,SE,sag t1,"(0.9766, 0.9766)",0.9766,0.9766,MR,256,256
